               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  68,            0.047593,            0.062828,                   0,             0.59913,             0.58483,             0.60654,             0.18767,            0.039462,            0.037536,                   0,           0.0016933,           0.0016933,            0.074193
                  69,            0.044836,            0.062925,                   0,              0.5456,             0.81884,             0.72105,             0.32489,             0.03731,            0.037306,                   0,           0.0016919,           0.0016919,            0.073792
                  70,             0.04369,            0.066087,                   0,             0.69812,             0.57246,             0.69483,              0.2357,            0.048317,            0.039534,                   0,           0.0016896,           0.0016896,             0.07339
                  71,            0.051349,            0.071336,                   0,             0.73167,             0.65204,             0.72731,             0.42643,            0.042284,            0.039063,                   0,           0.0016866,           0.0016866,            0.072987
                  72,            0.048246,             0.06849,                   0,              0.7544,             0.69565,             0.80843,             0.34262,            0.038704,            0.038993,                   0,           0.0016827,           0.0016827,            0.072583
                  73,            0.044231,            0.061286,                   0,              0.5564,             0.54534,             0.58366,             0.26955,            0.041027,            0.037384,                   0,           0.0016781,           0.0016781,            0.072178
                  74,            0.042985,            0.059521,                   0,             0.50179,             0.82609,              0.6538,             0.19628,            0.043506,            0.037468,                   0,           0.0016727,           0.0016727,            0.071773
                  75,            0.049906,            0.068371,                   0,             0.73778,             0.57088,             0.69775,             0.22673,            0.046285,            0.037317,                   0,           0.0016665,           0.0016665,            0.071366
                  76,            0.050073,            0.066469,                   0,             0.68528,             0.59959,             0.70683,             0.20723,            0.045036,            0.037107,                   0,           0.0016596,           0.0016596,             0.07096
                  77,            0.049906,            0.055869,                   0,             0.68964,             0.57966,             0.69323,             0.39232,            0.042697,            0.035529,                   0,           0.0016519,           0.0016519,            0.070552
                  78,            0.047659,             0.06283,                   0,             0.81287,             0.72397,             0.85829,              0.3515,             0.04197,            0.035965,                   0,           0.0016435,           0.0016435,            0.070143
                  79,            0.046899,            0.067375,                   0,             0.71933,             0.68718,              0.7649,             0.29144,            0.043893,            0.038642,                   0,           0.0016344,           0.0016344,            0.069734
                  80,            0.050065,             0.06055,                   0,             0.63183,             0.92024,             0.78447,              0.3557,            0.037108,            0.036169,                   0,           0.0016246,           0.0016246,            0.069325
                  81,            0.043262,            0.063261,                   0,             0.48064,             0.81884,             0.61268,             0.24131,             0.04204,            0.037015,                   0,           0.0016141,           0.0016141,            0.068914
                  82,             0.04772,            0.064492,                   0,             0.70734,              0.7029,             0.77047,             0.33947,            0.039484,            0.036082,                   0,           0.0016029,           0.0016029,            0.068503
                  83,            0.044526,            0.063332,                   0,             0.69054,             0.67914,             0.73632,             0.32735,            0.040722,             0.03728,                   0,           0.0015911,           0.0015911,            0.068091
                  84,            0.048476,            0.065564,                   0,             0.67867,             0.67391,             0.74137,             0.33327,            0.038222,            0.036009,                   0,           0.0015786,           0.0015786,            0.067679
                  85,            0.042661,            0.055803,                   0,             0.86565,             0.84043,             0.89746,              0.4578,            0.036313,            0.036042,                   0,           0.0015656,           0.0015656,            0.067266
                  86,            0.040336,            0.070584,                   0,             0.57628,             0.68116,             0.68005,             0.32239,            0.040789,            0.037106,                   0,           0.0015519,           0.0015519,            0.066852
                  87,            0.043531,            0.061792,                   0,             0.71805,             0.57246,             0.65844,             0.28814,            0.042353,            0.038966,                   0,           0.0015377,           0.0015377,            0.066438
                  88,            0.044164,            0.065775,                   0,             0.81209,             0.97084,             0.93517,              0.6367,            0.026314,            0.036202,                   0,           0.0015229,           0.0015229,            0.066023
                  89,            0.032519,            0.062044,                   0,             0.71812,              0.9058,             0.84246,             0.51505,            0.031167,            0.037058,                   0,           0.0015076,           0.0015076,            0.065608
                  90,            0.037624,            0.064799,                   0,             0.87209,             0.64229,             0.83086,             0.37685,            0.041517,            0.040134,                   0,           0.0014917,           0.0014917,            0.065192
                  91,            0.044694,            0.068477,                   0,             0.76807,             0.75362,             0.84355,             0.42501,            0.033655,            0.038517,                   0,           0.0014754,           0.0014754,            0.064775
                  92,            0.037571,            0.068685,                   0,             0.70178,             0.78986,             0.83903,             0.49315,            0.033464,             0.03928,                   0,           0.0014586,           0.0014586,            0.064359
                  93,            0.038512,            0.061286,                   0,             0.80909,             0.83333,              0.8767,             0.50072,            0.035812,            0.038416,                   0,           0.0014413,           0.0014413,            0.063941
                  94,            0.038231,            0.063609,                   0,             0.76172,             0.81076,             0.86492,             0.52565,            0.036248,            0.037203,                   0,           0.0014236,           0.0014236,            0.063524
                  95,            0.042442,            0.067847,                   0,             0.84504,             0.95652,             0.94256,             0.67211,            0.025532,            0.035374,                   0,           0.0014055,           0.0014055,            0.063105
                  96,            0.033858,            0.064982,                   0,              0.8735,             0.85507,             0.93992,             0.55816,            0.033007,            0.036284,                   0,            0.001387,            0.001387,            0.062687
                  97,            0.037268,            0.065073,                   0,             0.70373,             0.76087,             0.84315,              0.6242,             0.03204,            0.036292,                   0,           0.0013682,           0.0013682,            0.062268
                  98,            0.038447,            0.061292,                   0,             0.61901,             0.76812,             0.75745,             0.43549,             0.03211,             0.03691,                   0,            0.001349,            0.001349,            0.061849
                  99,            0.037513,            0.057782,                   0,             0.75799,             0.68116,             0.80256,             0.50843,            0.028503,            0.035337,                   0,           0.0013295,           0.0013295,             0.06143
                 100,            0.034434,            0.064469,                   0,             0.87031,             0.92754,             0.94511,             0.62571,            0.024894,            0.034308,                   0,           0.0013097,           0.0013097,             0.06101
                 101,            0.033354,            0.055204,                   0,             0.75065,             0.92754,             0.90459,             0.53956,            0.029417,            0.034973,                   0,           0.0012897,           0.0012897,             0.06059
                 102,             0.03372,            0.060066,                   0,             0.55626,             0.84783,             0.72282,             0.38661,            0.031999,            0.034923,                   0,           0.0012695,           0.0012695,            0.060169
                 103,            0.040219,            0.060181,                   0,             0.77373,              0.9416,              0.8924,             0.45529,            0.031666,            0.035577,                   0,            0.001249,            0.001249,            0.059749
                 104,            0.038801,            0.065906,                   0,             0.88884,              0.9271,             0.95241,             0.66911,            0.022248,            0.033629,                   0,           0.0012284,           0.0012284,            0.059328
                 105,            0.032479,            0.057663,                   0,             0.81131,             0.93472,             0.89628,             0.59372,            0.027212,            0.034318,                   0,           0.0012077,           0.0012077,            0.058908
                 106,            0.032041,            0.063187,                   0,             0.85969,             0.93478,             0.93209,             0.66413,            0.026243,             0.03432,                   0,           0.0011868,           0.0011868,            0.058487
                 107,            0.032771,            0.068734,                   0,             0.85696,             0.95652,              0.9558,             0.70958,              0.0227,            0.035005,                   0,           0.0011658,           0.0011658,            0.058066
                 108,            0.030821,            0.059426,                   0,             0.88836,             0.92754,             0.96151,             0.70173,            0.024612,            0.035472,                   0,           0.0011447,           0.0011447,            0.057645
                 109,            0.030302,            0.064491,                   0,             0.85801,             0.96377,             0.96107,             0.65099,            0.026432,            0.036946,                   0,           0.0011237,           0.0011237,            0.057224
                 110,            0.033368,            0.061264,                   0,             0.88217,             0.86801,             0.94375,              0.6093,            0.028916,            0.036588,                   0,           0.0011026,           0.0011026,            0.056803
                 111,            0.032056,            0.064254,                   0,             0.89352,             0.92754,             0.95657,             0.64586,            0.026166,            0.034776,                   0,           0.0010815,           0.0010815,            0.056382
                 112,            0.033043,            0.060478,                   0,             0.88529,             0.89855,             0.94979,             0.68974,            0.025297,            0.034485,                   0,           0.0010605,           0.0010605,            0.055961
                 113,            0.030771,            0.057226,                   0,             0.88729,             0.91272,              0.9513,             0.70699,            0.021591,            0.033457,                   0,           0.0010396,           0.0010396,             0.05554
                 114,            0.027801,            0.058542,                   0,             0.88782,             0.91764,             0.95489,             0.70989,            0.026168,            0.034353,                   0,           0.0010188,           0.0010188,            0.055119
                 115,            0.028878,            0.060888,                   0,              0.8817,             0.92029,             0.95483,             0.76171,            0.021268,             0.03391,                   0,          0.00099816,          0.00099816,            0.054698
                 116,            0.029015,            0.061703,                   0,             0.87159,             0.93451,             0.95073,              0.7077,            0.026132,            0.036682,                   0,          0.00097767,          0.00097767,            0.054278
                 117,            0.030213,            0.064313,                   0,             0.87741,             0.93356,              0.9594,             0.71817,            0.022723,             0.03522,                   0,           0.0009574,           0.0009574,            0.053857
                 118,            0.028025,            0.065534,                   0,             0.88607,             0.91304,             0.96056,             0.78104,            0.021383,            0.035494,                   0,          0.00093736,          0.00093736,            0.053437
                 119,            0.025757,            0.059639,                   0,             0.91847,             0.89796,             0.96157,             0.72565,            0.021112,            0.033653,                   0,          0.00091758,          0.00091758,            0.053018
                 120,            0.026007,            0.060816,                   0,             0.90569,              0.9058,             0.96085,             0.76357,            0.021463,            0.034121,                   0,           0.0008981,           0.0008981,            0.052598
